task_id,problem,language,branching_factor,max_programs,drafts_per_prompt,explanations_per_program,repairs_per_explanation,beam_width,log,lexicase_selection,dataset,model_name,run,valid_examples,offset
811001,basement,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811002,basement,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811003,bouncing-balls,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811004,bouncing-balls,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811005,bowling,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811006,bowling,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811007,camel-case,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811008,camel-case,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811009,coin-sums,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811010,coin-sums,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811011,cut-vector,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811012,cut-vector,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811013,dice-game,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811014,dice-game,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811015,find-pair,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811016,find-pair,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811017,fizz-buzz,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811018,fizz-buzz,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811019,fuel-cost,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811020,fuel-cost,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811021,gcd,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811022,gcd,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811023,indices-of-substring,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811024,indices-of-substring,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811025,leaders,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811026,leaders,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811027,luhn,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811028,luhn,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811029,mastermind,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811030,mastermind,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811031,middle-character,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811032,middle-character,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811033,paired-digits,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811034,paired-digits,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811035,shopping-list,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811036,shopping-list,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811037,snow-day,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811038,snow-day,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811039,solve-boolean,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811040,solve-boolean,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811041,spin-words,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811042,spin-words,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811043,square-digits,C++,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
811044,square-digits,Python,2,100,2,2,2,2,INFO,False,psb2,gpt-3.5-turbo,8,50,811000
